smiles,ESOL,group
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,training
Cc1occc1C(=O)Nc1ccccc1,-3.3,training
CC(C)=CCCC(C)=CC=O,-2.06,training
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,training
c1ccsc1,-1.33,training
c1ccc2scnc2c1,-1.5,training
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,training
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,training
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,training
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,test
O=C1CCCN1,1.07,training
Clc1ccc2ccccc2c1,-4.14,training
C=CCCC,-2.68,test
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,training
CCCCCCCCCCCCCC,-7.96,valid
CC(C)Cl,-1.41,training
CCC(C)CO,-0.47,training
N#Cc1ccccc1,-1.0,training
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,training
CCCCCCCCCC(C)O,-2.94,test
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,training
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,test
CCOP(=S)(OCC)SCSCC,-4.11,training
CCOc1ccc(NC(C)=O)cc1,-2.35,training
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,training
CCCCCCCO,-1.81,training
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,training
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,training
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,training
CCCCCCCC(=O)OC,-3.17,training
CCc1ccc(CC)cc1,-3.75,training
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,training
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,training
C=C(Cl)Cl,-1.64,training
Cc1cccc2c1Cc1ccccc1-2,-5.22,training
CCCCC=O,-0.85,training
c1ccc(Nc2ccccc2)cc1,-3.504,training
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,training
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,test
CCCCCCCI,-4.81,valid
Clc1cccc(-c2ccccc2)c1,-4.88,training
C=CCCCO,-0.15,training
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,training
CC1CCC(C(C)C)C(O)C1,-2.53,test
CC(C)OC=O,-0.63,test
CCCCCC(C)O,-1.55,training
CC(=O)Nc1ccc(Br)cc1,-3.083,training
Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,training
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,training
Cc1ccc2ccc(C)nc2c1,-1.94,training
C#CCCCCCC,-3.66,training
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,training
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,training
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,test
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,valid
Cc1ccccc1O,-0.62,valid
CC(C)CCC(C)(C)C,-5.05,training
Cc1ccc(C)c2ccccc12,-4.14,valid
Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,training
CCCC(C)=O,-0.19,training
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,training
CCCOC(=O)CC,-0.82,training
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,training
Nc1ccc(O)cc1,-0.8,training
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,valid
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,training
CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,training
NC(=O)c1cnccn1,-0.667,training
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,training
Clc1ccccc1-c1ccccc1Cl,-5.27,valid
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,test
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,training
CC12CCC(CC1=O)C2(C)C,-1.96,training
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,training
CCCCC(=O)OCC,-2.25,training
CC(=O)OCCC(C)C,-1.92,training
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,training
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,training
CCCBr,-1.73,training
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,training
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,training
Cc1ncnc2nccnc12,-0.466,training
NC(N)=S,0.32,training
Cc1ccc(C)cc1,-2.77,training
CCc1ccccc1CC,-3.28,training
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,training
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,valid
CCC[N+](=O)[O-],-0.8,test
CC1CCC(C(C)C)C(=O)C1,-2.35,training
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,training
O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,training
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,valid
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,training
CCCOC(C)C,-1.34,training
Cc1cc(C)c2ccccc2c1,-4.29,valid
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,training
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,training
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,training
c1ccc(C2CO2)cc1,-1.6,test
CC(C)c1ccccc1,-3.27,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,training
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,training
OC1COC(O)C(O)C1O,0.39,training
ClCCl,-0.63,training
CCc1cccc2ccccc12,-4.17,training
COC=O,0.58,test
O=[N+]([O-])c1ccccc1O,-1.74,valid
Cc1c[nH]c(=O)[nH]c1=O,-1.506,training
CC(C)C,-2.55,training
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,test
N#Cc1cc(I)c(O)c(I)c1,-3.61,training
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,training
CCCCC,-3.18,training
Oc1ccccc1,0.0,training
Nc1ccc2cc3ccccc3cc2c1,-5.17,training
Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,valid
c1ccc2cnccc2c1,-1.45,training
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,training
CCCCCCc1ccccc1,-5.21,training
Clc1ccccc1-c1ccccc1,-4.54,test
C=C(C)CCC,-3.03,valid
CC(C)C(C)C(C)C,-4.8,training
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,training
O=[N+]([O-])c1cccc(O)c1,-1.01,training
C=CCCCCCCCC,-5.51,training
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,test
CCCCc1c(C)nc(N(C)C)nc1O,-2.24,training
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337000000000001,training
c1ccncc1,0.76,training
CCCCCCCBr,-4.43,training
Cc1ccncc1C,0.36,training
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,training
CCSCc1ccccc1OC(=O)NC,-2.09,training
CCOC(=O)CC(=O)OCC,-0.82,training
C=C(C)C1CC=C(C)CC1,-4.26,test
c1ccc2c(c1)CCC2,-3.04,training
CC(C)(C)c1ccc(O)cc1,-2.41,training
O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,valid
Clc1cccc(I)c1,-3.55,training
Brc1cccc2ccccc12,-4.35,test
C/C=C/CC,-2.54,training
Cc1cccc(C)n1,0.45,training
ClC=C(Cl)Cl,-1.96,training
Nc1cccc2ccccc12,-1.92,training
Cc1cccc(C)c1,-2.82,training
Oc1ncc2nccnc2n1,-1.947,training
CO,1.57,training
CCC(C)=O,0.52,training
O=c1[nH]cc(F)c(=O)[nH]1,-1.077,valid
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,training
Oc1cccc(O)c1,0.81,training
CCCCCCO,-1.24,test
CCCCCCl,-2.73,valid
C=CC=C,-1.87,training
CCCOC(C)=O,-0.72,training
Oc1ccc2c(c1)CCCC2,-1.99,training
NC(=O)CCl,-0.02,training
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,valid
Cc1ccc(Cl)cc1,-3.08,valid
CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,test
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,training
CCCCCC=O,-1.3,training
CCCCOC(=O)c1ccc(N)cc1,-3.082,training
Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,training
CC(C)=CCC/C(C)=C\CO,-2.46,training
Clc1ccc(-c2ccccc2Cl)cc1,-5.28,training
CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,training
CC[N+](=O)[O-],-0.22,training
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,training
Clc1ccc(Cl)c(Cl)c1Cl,-4.57,test
CCCC(C)(COC(N)=O)COC(N)=O,-1.807,training
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,training
CI,-1.0,test
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,training
CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,training
CC1=CC(=O)CC(C)(C)C1,-1.06,valid
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,training
CCCCC(=O)CCCC,-2.58,training
CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,training
CCC(C)CC,-3.68,valid
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,training
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,training
N#CCCl,-0.092,training
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,valid
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,training
c1ccnnc1,1.1,training
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,training
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,training
Nc1ccccc1O,-0.72,training
CCCCCCCCC(=O)OCC,-3.8,training
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,valid
CNC(=O)Oc1ccccc1OC(C)C,-2.05,training
CCC(C)Cl,-1.96,training
Oc1ccc2ccccc2c1,-2.28,training
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.696000000000001,training
C#CCCCC,-2.36,training
C#CCCCCCCC,-4.24,test
Cc1ccccc1Cl,-3.52,valid
CC(C)OC(C)C,-1.1,training
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,training
CNN,1.34,training
C#CC,-0.41,training
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,training
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,training
C=CC=O,0.57,training
O=c1[nH]cnc2nc[nH]c12,-2.296,training
Oc1ccc2ncccc2c1,-2.16,training
Fc1ccccc1,-1.8,valid
CCCCl,-1.47,training
CCOC(C)=O,-0.04,training
CCCC(C)(C)C,-4.36,training
Cc1cc(C)c(C)c(C)c1C,-4.0,training
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,training
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,valid
Cc1cccnc1C,0.38,training
C=C(C)C1CC=C(C)C(=O)C1,-2.06,test
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,training
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,training
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,training
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,training
Brc1ccc2ccccc2c1,-4.4,training
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,valid
COc1cnc2ncncc2n1,-1.139,training
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,training
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,test
C=CC(=C)C,-2.03,training
C=CC(C)(O)CCC=C(C)C,-1.99,training
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,training
OC1CCCCC1,-0.44,training
C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,training
Cc1ccc(-c2ccccc2)cc1,-4.62,training
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,training
NC(=S)Nc1ccccc1,-1.77,test
CCCC(=O)CCC,-1.3,training
CC(=O)C(C)(C)C,-0.72,training
Oc1ccc(Cl)cc1,-0.7,training
O=C1CCCCC1,-0.6,training
Cc1cccc(N)c1,-0.85,training
N#CC(Cl)(Cl)Cl,-2.168,test
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,training
CCCCCCCCC(C)=O,-3.3,training
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,valid
CCOC(=O)c1ccc(N)cc1,-2.616,training
Clc1ccc(Cl)c(Cl)c1,-3.59,training
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09,valid
Oc1ccccc1O,0.62,training
CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62,test
CSC,-0.45,test
Cc1ccccc1Br,-2.23,training
CCOC(N)=O,0.85,training
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,test
CC(C)C(O)C(C)C,-1.22,training
c1ccc2ccccc2c1,-3.6,training
CCNc1ccccc1,-1.7,valid
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097,training
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,test
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,training
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,training
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,training
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678,test
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,training
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,training
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,training
CCCCBr,-2.37,training
Brc1cc(Br)c(Br)cc1Br,-6.98,test
CC(=O)CC(C)C,-0.74,training
CCSC(=O)N(CC)C1CCCCC1,-3.4,training
COc1ccc(Cl)cc1,-2.78,training
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,training
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,training
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,valid
Ic1cccc2ccccc12,-4.55,training
CCS,-0.6,training
ClCC(Cl)Cl,-1.48,training
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,training
NC(=O)c1ccccc1O,-1.82,training
Cc1ccccc1[N+](=O)[O-],-2.33,training
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,training
CCc1ccccc1C,-3.21,training
CCCCCCCCl,-4.0,training
CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,training
c1ccc(CCc2ccccc2)cc1,-4.62,valid
ClC(Cl)C(Cl)Cl,-1.74,training
CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153,valid
Cc1ccc2c(ccc3ccccc32)c1,-5.84,training
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,training
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,valid
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,training
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,valid
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,training
COc1ccc([N+](=O)[O-])cc1,-2.41,training
CCCCCCCl,-3.12,training
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,valid
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,test
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,training
CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,training
CC(Cl)Cl,-1.29,test
Nc1ccc(S(N)(=O)=O)cc1,-1.34,training
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,training
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,training
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,training
Clc1cccc(Cl)c1Cl,-4.0,training
ClC(Cl)(Cl)Cl,-2.31,training
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2,test
OC1CCCCCCC1,-1.29,training
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999,training
CCOc1ccc(NC(N)=O)cc1,-2.17,training
CC1CCC(C)CC1,-4.47,training
c1cnc2c(c1)ccc1ncccc12,-2.68,valid
COC(C)(C)C,-0.24,valid
CC=Cc1ccc(OC)cc1,-3.13,training
CCCCCCCCCCCCCCCCO,-7.0,training
O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,training
Nc1ncnc2nc[nH]c12,-2.12,training
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,training
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596,training
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,training
O=C(Nc1ccccc1)Nc1ccccc1,-3.15,training
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322,training
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,training
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,training
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,training
CCC(C)(C)CO,-1.04,training
CCCOC(=O)CCC,-1.75,training
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22,test
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,training
C1CCCCCC1,-3.51,training
CCCOC=O,-0.49,test
Cc1ccccc1C(C)C,-3.76,training
Nc1cccc(Cl)c1,-1.37,training
CC(C)CC(C)C,-4.26,training
c1ccc2c(c1)oc1ccccc12,-4.6,training
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,valid
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,test
c1ccc2nc3ccccc3cc2c1,-3.67,valid
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,training
OCC1OC(O)C(O)C(O)C1O,0.74,training
Cc1cccc(O)c1,-0.68,valid
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003,training
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,training
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39,training
CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696,training
CCCCCCCCCC(=O)OCC,-4.1,training
CN(C)C(=O)Nc1ccccc1,-1.6,training
CCCOCC,-0.66,training
CC(C)O,0.43,test
Cc1ccc2ccccc2c1,-3.77,valid
ClC(Br)Br,-1.9,training
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,training
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,training
ClCc1ccccc1,-2.39,test
C/C=C/C=O,0.32,test
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,training
Cc1c2ccccc2c(C)c2ccccc12,-6.57,training
CCCCCC(=O)OC,-1.87,training
CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328,training
CC(=O)Nc1ccc(F)cc1,-1.78,training
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,test
C1=CCCCC1,-2.59,training
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09,training
c1cncnc1,1.1,training
O=[N+]([O-])c1ccc(Cl)cc1,-2.92,training
CCC(=O)OC,-0.14,training
O=[N+]([O-])c1ccccc1Cl,-2.55,test
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,training
CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.877,training
O=[N+]([O-])c1ccccc1,-1.8,test
Ic1ccccc1,-3.01,training
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,training
COc1ccccc1OCC(O)COC(N)=O,-0.985,training
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19,training
Oc1cccc(Cl)c1Cl,-1.3,training
CCCC(=O)OC,-1.92,training
